DeltaTime,MainCam_x,MainCam_y,MainCam_z,Quaternion_x,Quaternion_y,Quaternion_z,Quaternion_w,LeftController_x,LeftController_y,LeftController_z,Quaternion_x,Quaternion_y,Quaternion_z,Quaternion_w,RightController_x,RightController_y,RightController_z,Quaternion_x,Quaternion_y,Quaternion_z,Quaternion_w
0,0.02448343,1.644214,0.04687017,0.004087754,0.003427309,-0.007900221,0.9999546,-0.1876193,0.7273657,0.02637112,-0.6373127,-0.01884086,0.2303782,-0.7351214,0.2464007,0.7236468,0.006712217,-0.6782373,-0.04944301,-0.1283499,-0.7218559
0.0140686,0.02451664,1.644136,0.04700334,0.004322782,0.003680964,-0.008142898,0.9999507,-0.187572,0.7274134,0.02658665,-0.6373048,-0.01904395,0.2303311,-0.7351378,0.2463829,0.7236258,0.006675108,-0.6783158,-0.04951634,-0.1282435,-0.721796
0.02785301,0.0245493,1.644067,0.04716179,0.004576587,0.003825092,-0.008265244,0.9999481,-0.1874783,0.7274528,0.02690721,-0.6372375,-0.01937479,0.2302181,-0.7352228,0.2464061,0.7234922,0.006605553,-0.6784366,-0.04971346,-0.1281188,-0.7216911
0.04185677,0.02457941,1.64406,0.04737553,0.004077232,0.003975727,-0.008389078,0.9999486,-0.1873597,0.7274482,0.02725559,-0.6371244,-0.01984263,0.2302251,-0.7353062,0.2464245,0.7233667,0.006557457,-0.6785143,-0.0498436,-0.128025,-0.7216257
0.05568886,0.0245817,1.644112,0.04758752,0.003465173,0.004106015,-0.008436734,0.99995,-0.1872817,0.7274395,0.02749261,-0.6370373,-0.02010797,0.230252,-0.735366,0.2464279,0.7233042,0.006512006,-0.6785756,-0.04998531,-0.1279674,-0.7215685
0.06960869,0.02458138,1.644195,0.04780626,0.002948025,0.004191633,-0.00844484,0.9999512,-0.1872161,0.7274204,0.02776952,-0.6369448,-0.02046188,0.2303637,-0.7354014,0.2464198,0.7231722,0.006427194,-0.6787192,-0.05011278,-0.1278889,-0.7214385
0.08356285,0.02461557,1.644223,0.0479974,0.003109887,0.004481032,-0.008637694,0.9999478,-0.1871851,0.727399,0.02800644,-0.6368799,-0.02070575,0.2305361,-0.7353967,0.2463829,0.7230623,0.006342517,-0.6788871,-0.05008717,-0.1278129,-0.7212957
0.09739876,0.02464642,1.644182,0.04816379,0.003592174,0.004895186,-0.008854983,0.9999424,-0.1871633,0.72739,0.02823792,-0.6368409,-0.02091455,0.230735,-0.7353623,0.246322,0.7230214,0.006288585,-0.6789789,-0.04999136,-0.1278185,-0.7212149
0.111412,0.02467815,1.644112,0.04827698,0.004515396,0.005214614,-0.009117761,0.9999347,-0.1871675,0.7273751,0.02842853,-0.6368279,-0.02099851,0.2308418,-0.7353376,0.2462571,0.7229335,0.006247894,-0.6790555,-0.04991082,-0.1278622,-0.7211406
0.1253872,0.0247,1.644025,0.04837398,0.004910795,0.005260391,-0.008947135,0.9999341,-0.1871736,0.7273628,0.02859979,-0.6368374,-0.02098637,0.2307957,-0.7353443,0.2461962,0.7228315,0.006220428,-0.6791148,-0.04986361,-0.1279028,-0.7210808
0.1392021,0.02468125,1.643967,0.04848567,0.005184163,0.005455791,-0.008842736,0.9999326,-0.1871504,0.727354,0.02893807,-0.6368683,-0.02089065,0.230638,-0.7353696,0.2461615,0.7227839,0.006216593,-0.6791691,-0.04990289,-0.1278972,-0.721028
0.1531506,0.02466678,1.643983,0.04862753,0.004664361,0.005611816,-0.008550683,0.9999368,-0.1871141,0.7273207,0.02923938,-0.6369059,-0.0207433,0.2304225,-0.7354088,0.2461239,0.7226757,0.006229066,-0.6792672,-0.05000192,-0.1278205,-0.7209423
0.167141,0.02463032,1.644072,0.04880824,0.003836173,0.005698531,-0.008399548,0.9999412,-0.1870554,0.7272811,0.0294815,-0.6368909,-0.02070999,0.2302543,-0.7354754,0.2460924,0.7225443,0.006254668,-0.6794091,-0.05006037,-0.1277667,-0.720814
0.1811333,0.02458754,1.644195,0.04902095,0.002725511,0.005808247,-0.008423179,0.999944,-0.1869849,0.7272485,0.0296833,-0.6368294,-0.02078869,0.2302281,-0.7355347,0.2460625,0.7225019,0.006279051,-0.6794885,-0.05006402,-0.1278027,-0.7207325
0.1950455,0.02452454,1.644311,0.04923173,0.002299798,0.005695879,-0.008690285,0.9999434,-0.1868739,0.7271797,0.02995433,-0.6366948,-0.02098255,0.2302793,-0.7356296,0.2460233,0.7224284,0.006338778,-0.6795865,-0.05002804,-0.1279195,-0.7206219
0.2089806,0.02440955,1.644385,0.04940607,0.002474291,0.005527901,-0.008702148,0.9999438,-0.1866898,0.7270589,0.03032269,-0.6365299,-0.02145303,0.2304479,-0.7357059,0.2459842,0.722368,0.006440463,-0.6796186,-0.05000765,-0.1280537,-0.7205693
0.2227974,0.02434351,1.644344,0.04955146,0.002758007,0.005297341,-0.008152567,0.9999489,-0.1866005,0.7270338,0.03051086,-0.6364807,-0.02164,0.2305159,-0.7357217,0.2459637,0.7223125,0.006535245,-0.6796252,-0.05003111,-0.1280858,-0.7205557
0.2366734,0.02427528,1.644231,0.04970799,0.003322295,0.004948128,-0.007862704,0.9999514,-0.1865503,0.7270127,0.03066602,-0.636481,-0.02166469,0.2305199,-0.7357195,0.2459107,0.7222227,0.006716622,-0.6796704,-0.05009179,-0.1280069,-0.7205229
0.2506294,0.02424539,1.644228,0.0499381,0.004405366,0.00450591,-0.007403592,0.9999527,-0.1864887,0.7269924,0.03090493,-0.6365043,-0.02163737,0.2305504,-0.7356906,0.245792,0.7221506,0.006993173,-0.6797479,-0.05011854,-0.1276716,-0.7205074
0.2646198,0.02424931,1.644262,0.05026597,0.003519445,0.00437113,-0.007392186,0.999957,-0.1864795,0.7269578,0.03108129,-0.6365826,-0.021516,0.2305636,-0.7356223,0.2457104,0.7221568,0.007193658,-0.6797113,-0.05012801,-0.1274977,-0.7205721
0.2785378,0.02428309,1.644368,0.05068691,0.003483526,0.004330975,-0.007895593,0.9999534,-0.1864391,0.7269505,0.03125908,-0.6367955,-0.02141696,0.230309,-0.7355206,0.2456137,0.7221905,0.007502433,-0.6796196,-0.05020376,-0.1272629,-0.7206948
0.2924404,0.02444465,1.645042,0.05155389,0.003523899,0.004138129,-0.008295929,0.9999508,-0.1863105,0.726981,0.03143417,-0.6370991,-0.02157952,0.2299151,-0.7353762,0.2455577,0.7222308,0.007753589,-0.6795592,-0.05032313,-0.1271589,-0.7207617
0.3064213,0.0246543,1.645001,0.05205216,0.002580881,0.004014837,-0.008223422,0.9999548,-0.1861936,0.7270237,0.03157287,-0.6372082,-0.02189465,0.2298936,-0.7352791,0.2455308,0.7222049,0.00799193,-0.6795306,-0.05042479,-0.1270544,-0.7208
0.3203259,0.02484401,1.644331,0.05261495,0.001606983,0.004164594,-0.008220471,0.9999563,-0.1860346,0.7270965,0.03180603,-0.6372057,-0.02238331,0.2299807,-0.7352393,0.2455022,0.722202,0.008296877,-0.6794927,-0.05059117,-0.1269053,-0.7208504
0.3344097,0.02505852,1.643581,0.05302469,0.002346725,0.004514682,-0.008340397,0.9999523,-0.1859409,0.7271284,0.0319834,-0.6371126,-0.02258943,0.2299968,-0.7353086,0.2454673,0.7222236,0.008549615,-0.6794421,-0.0507458,-0.1267179,-0.7209201
0.348238,0.02537192,1.643045,0.0535045,0.003479994,0.004708221,-0.008230552,0.999949,-0.1857782,0.7270883,0.03235146,-0.6369396,-0.02304341,0.2299868,-0.7354475,0.2453469,0.7222096,0.009121765,-0.6792493,-0.05103869,-0.1261,-0.7211894
0.3620625,0.02567548,1.642925,0.05413656,0.005879953,0.005477024,-0.008098072,0.9999349,-0.1856941,0.7269626,0.0326017,-0.6368441,-0.02334906,0.2300927,-0.7354875,0.245221,0.7221376,0.009629639,-0.6790268,-0.05132186,-0.1252621,-0.7215248
0.375946,0.0261486,1.642945,0.0549199,0.005917788,0.005709098,-0.007571194,0.9999375,-0.1856373,0.7267205,0.03290009,-0.6368324,-0.02368654,0.2304917,-0.7353619,0.2450871,0.7220253,0.0102155,-0.6787868,-0.05183392,-0.1240242,-0.7219278
0.3899078,0.02645307,1.643983,0.05586563,0.006898518,0.006273158,-0.007583996,0.9999278,-0.1856925,0.7262107,0.03330724,-0.6369808,-0.0242005,0.2318817,-0.7347793,0.2450384,0.7217786,0.01062563,-0.6785881,-0.05212289,-0.1232944,-0.7222188
0.4039421,0.02685245,1.64506,0.05662594,0.006850301,0.006504379,-0.007770166,0.9999252,-0.1859753,0.7257997,0.03349793,-0.6375112,-0.02419053,0.2338919,-0.7336817,0.245074,0.7216347,0.01062633,-0.6787828,-0.05199726,-0.1234211,-0.7220232
0.4177799,0.02709715,1.644866,0.05735401,0.004649338,0.006955462,-0.008529581,0.9999287,-0.1863337,0.7256942,0.03343364,-0.6386977,-0.02375083,0.2354664,-0.732159,0.2450621,0.7216879,0.01062718,-0.6790318,-0.05178438,-0.1233973,-0.7218084
0.431736,0.02737282,1.644226,0.05788029,0.004336877,0.00712227,-0.009088839,0.9999239,-0.1864786,0.7258009,0.03334217,-0.6395343,-0.02334624,0.2356731,-0.7313748,0.245049,0.7218153,0.01066349,-0.679439,-0.05148906,-0.1232615,-0.7214694
0.4456043,0.02769526,1.643685,0.05796147,0.00728155,0.007187876,-0.009045443,0.9999067,-0.1863901,0.7260223,0.03338309,-0.6400595,-0.02329527,0.2351091,-0.7310985,0.2450964,0.7220646,0.01067244,-0.6799838,-0.05106629,-0.1230528,-0.7210217
0.4595432,0.02803559,1.643417,0.05823583,0.009531127,0.00692909,-0.009240862,0.9998879,-0.1861329,0.7261807,0.03364832,-0.639704,-0.02332025,0.2342476,-0.7316852,0.24519,0.7221891,0.01079109,-0.6799607,-0.05105694,-0.1227728,-0.7210919
0.4737892,0.02829548,1.643457,0.05888008,0.01021284,0.006989828,-0.009575119,0.9998776,-0.1859713,0.7262718,0.03393114,-0.6395251,-0.02313053,0.2340403,-0.7319139,0.2454147,0.7223738,0.01104296,-0.6799267,-0.05149162,-0.1219629,-0.7212304
0.4875641,0.02869002,1.643654,0.0596616,0.009402693,0.00679513,-0.01018751,0.9998809,-0.1855841,0.7264812,0.03461763,-0.639176,-0.02295736,0.2336096,-0.7323617,0.2458832,0.7225191,0.01144161,-0.6798966,-0.05281604,-0.1201228,-0.7214718
0.5014935,0.02905967,1.644122,0.06072458,0.007496365,0.006977054,-0.01070601,0.9998903,-0.1842817,0.727042,0.03668058,-0.6374401,-0.02313326,0.2318825,-0.734415,0.246691,0.7224814,0.01180925,-0.6798261,-0.05518022,-0.1179347,-0.7217223
0.5153275,0.02957561,1.644362,0.06182878,0.005155033,0.007412441,-0.01084552,0.9999005,-0.1829728,0.7274794,0.03849669,-0.6356538,-0.02411722,0.2303338,-0.7364163,0.2471097,0.7223266,0.01172198,-0.680059,-0.05547548,-0.1177819,-0.7215051
0.5291443,0.03020029,1.643908,0.06291369,0.00240164,0.007827506,-0.01097924,0.9999062,-0.1816806,0.7279862,0.0403904,-0.6337324,-0.02591695,0.2290151,-0.7384197,0.2474197,0.7222207,0.01144978,-0.680658,-0.05518736,-0.11804,-0.72092
0.5430584,0.0308818,1.643217,0.06392654,0.001782043,0.008644674,-0.0106966,0.9999039,-0.1804523,0.7288065,0.04312418,-0.6307973,-0.02659446,0.2253275,-0.7420344,0.2479989,0.7221937,0.01114645,-0.6812672,-0.05537473,-0.1178013,-0.720369
0.5569916,0.03168007,1.642467,0.06498443,0.002672708,0.009564692,-0.009685924,0.9999038,-0.1806077,0.7292173,0.04526808,-0.6298184,-0.02241356,0.2197369,-0.7446758,0.2493155,0.7223921,0.01076409,-0.6819166,-0.05730759,-0.1151436,-0.7200331
0.5709095,0.0325793,1.64121,0.06627906,0.003511671,0.01029104,-0.008804071,0.9999021,-0.1815098,0.7292814,0.04712888,-0.6311827,-0.01504217,0.2126564,-0.7457609,0.2523873,0.7231527,0.01037456,-0.6817151,-0.06731641,-0.1035199,-0.7211218
