DeltaTime,MainCam_x,MainCam_y,MainCam_z,Quaternion_x,Quaternion_y,Quaternion_z,Quaternion_w,LeftController_x,LeftController_y,LeftController_z,Quaternion_x,Quaternion_y,Quaternion_z,Quaternion_w,RightController_x,RightController_y,RightController_z,Quaternion_x,Quaternion_y,Quaternion_z,Quaternion_w
0,0.03539497,1.636361,0.09521893,-0.002058367,-0.02340076,0.003977387,0.9997162,-0.2055876,0.7230349,0.02466788,-0.6948222,0.06677221,0.08364489,-0.7111731,0.2384306,0.7187559,0.02188997,-0.6898176,-0.004229845,-0.1030003,-0.7166064
0.01387405,0.03663459,1.635594,0.0971512,-0.002140559,-0.02486398,0.003419108,0.9996827,-0.2060966,0.7221552,0.02192344,-0.6969468,0.06820893,0.08273537,-0.7090611,0.2386453,0.7179195,0.02396801,-0.6904613,-0.009766215,-0.09109915,-0.7175436
0.02778625,0.03798231,1.634811,0.09918405,-0.001953203,-0.02635404,0.003082487,0.999646,-0.2069328,0.7214029,0.01945981,-0.6981689,0.07152127,0.08150654,-0.7076734,0.2388393,0.7172841,0.02710257,-0.6896245,-0.01496191,-0.07840765,-0.7197545
0.04162979,0.0395193,1.634165,0.1013367,-0.001216566,-0.02766188,0.002773328,0.9996127,-0.2080137,0.7207873,0.01716422,-0.6989253,0.0762026,0.08069963,-0.7065297,0.2390468,0.7167708,0.03187082,-0.68709,-0.01934194,-0.06459799,-0.7234364
0.05555534,0.04127555,1.633659,0.1035984,-9.228368E-05,-0.02875656,0.001774153,0.9995849,-0.2092247,0.7203363,0.01483904,-0.6994612,0.08141489,0.07993377,-0.7055043,0.2401255,0.7166057,0.0393517,-0.6830497,-0.02427686,-0.05030856,-0.7282327
0.06954384,0.04284441,1.633456,0.1059006,0.001073435,-0.02935702,0.0004037443,0.9995683,-0.2105197,0.7202603,0.0118158,-0.7012314,0.08619149,0.08003366,-0.7031644,0.2431174,0.7168202,0.04841181,-0.67802,-0.03108964,-0.04312419,-0.7331184
0.08347702,0.04445941,1.632183,0.1084173,0.0002250967,-0.02991177,-0.000724785,0.9995522,-0.2117029,0.7203985,0.008489417,-0.7033685,0.08904564,0.08103438,-0.7005548,0.2470741,0.7173815,0.05713516,-0.6753114,-0.04075691,-0.04037862,-0.735298
0.09739876,0.04621281,1.630775,0.1108286,-0.0001145172,-0.02991097,-0.001272213,0.9995518,-0.2127393,0.7206711,0.00499567,-0.7049052,0.09008211,0.08199554,-0.6987637,0.2520651,0.718743,0.06894784,-0.6744937,-0.05151097,-0.04045071,-0.7353697
0.1112766,0.04814881,1.629462,0.1133278,0.0003398001,-0.02965968,4.781047E-05,0.99956,-0.2138442,0.7203778,0.001484964,-0.7073358,0.09262332,0.08201275,-0.6959676,0.2560275,0.7202227,0.08169295,-0.6724232,-0.05925935,-0.03969014,-0.7367225
0.125164,0.0499768,1.628567,0.1160233,0.0007765191,-0.02825604,0.002556694,0.9995971,-0.2150735,0.7195491,-0.002201772,-0.7109287,0.09746401,0.08023845,-0.6918402,0.2596455,0.7227564,0.09966191,-0.6638209,-0.06419726,-0.04045361,-0.7440323
0.1390724,0.05160056,1.627248,0.1189042,-0.0007261077,-0.02739306,0.004809067,0.9996129,-0.2163079,0.7184362,-0.005651084,-0.7140743,0.1036009,0.07756482,-0.6880032,0.261744,0.7271466,0.1238551,-0.6453059,-0.06152623,-0.04104873,-0.7603353
0.1529732,0.05301818,1.6255,0.1220364,-0.003128142,-0.02657801,0.006773049,0.9996189,-0.2174536,0.7170989,-0.008811515,-0.7165246,0.1100479,0.07523375,-0.6847057,0.2626676,0.7323601,0.1489577,-0.6243417,-0.056031,-0.03729055,-0.7782463
0.1668911,0.05432174,1.623986,0.1253047,-0.004682126,-0.02602567,0.008021627,0.9996182,-0.2182971,0.7159322,-0.0113672,-0.7170284,0.1138739,0.07521606,-0.6835536,0.2638394,0.7379597,0.1744956,-0.6051512,-0.05221757,-0.03364001,-0.7936836
0.1808834,0.05539681,1.622661,0.1286979,-0.00633696,-0.02579439,0.008946684,0.9996071,-0.2189764,0.714878,-0.01385404,-0.7168363,0.1166418,0.07663248,-0.683131,0.2657155,0.7437052,0.1996952,-0.5890278,-0.05013845,-0.03430927,-0.8058258
0.1948757,0.05644087,1.621786,0.1322718,-0.007770422,-0.02546801,0.008519656,0.9996091,-0.2192726,0.7139105,-0.0168387,-0.717675,0.1181013,0.07668983,-0.6819922,0.268203,0.7510401,0.2262944,-0.5710199,-0.04535307,-0.0505501,-0.8181223
0.2086449,0.05745479,1.621567,0.1358975,-0.008991096,-0.02439367,0.008482302,0.999626,-0.2195078,0.713061,-0.02021326,-0.7192386,0.1203069,0.07543152,-0.6800972,0.2703102,0.7592278,0.2520323,-0.5502396,-0.03838863,-0.07231362,-0.8309834
0.2225342,0.05820019,1.622148,0.1397131,-0.01013171,-0.02263267,0.01016434,0.9996409,-0.2199391,0.7123731,-0.02423838,-0.7222271,0.1260446,0.07178403,-0.676275,0.2718276,0.769025,0.2787217,-0.5260206,-0.03133434,-0.0942931,-0.8446474
0.2364693,0.05875998,1.622412,0.1435583,-0.01105399,-0.02127245,0.01144909,0.9996471,-0.2203887,0.71177,-0.02860023,-0.7261961,0.133229,0.06698119,-0.6711205,0.2720243,0.7821611,0.3071857,-0.4990979,-0.02585715,-0.1086433,-0.8593191
0.2503624,0.05895036,1.622754,0.1474464,-0.01084631,-0.02028081,0.01185524,0.9996652,-0.2205613,0.7115477,-0.03365218,-0.7319534,0.1418959,0.06111256,-0.6636076,0.2714573,0.7958279,0.3336891,-0.4765807,-0.02462056,-0.1107246,-0.8717825
0.2643757,0.05888969,1.623313,0.151458,-0.008715075,-0.01895829,0.0130819,0.9996967,-0.2203791,0.7117631,-0.03837986,-0.737043,0.1486021,0.05690621,-0.6568461,0.2701865,0.8099797,0.3591822,-0.4572941,-0.02448378,-0.1084115,-0.8823432
0.2782478,0.05902607,1.624016,0.155584,-0.006928642,-0.0179976,0.01471227,0.9997058,-0.2199226,0.7123049,-0.04263885,-0.7411081,0.1540664,0.05402818,-0.6512322,0.2683592,0.8240293,0.3835965,-0.4401741,-0.0220771,-0.1068526,-0.8912586
0.2921944,0.05882123,1.625812,0.1599911,-0.004757203,-0.01755835,0.01689763,0.9996917,-0.2188324,0.7134452,-0.0465226,-0.7447802,0.157852,0.05236143,-0.6462533,0.2646034,0.8405532,0.4071732,-0.4261895,-0.01627789,-0.1048481,-0.8983899
0.3060799,0.05846944,1.627748,0.1645288,-0.005053357,-0.01752008,0.0198569,0.9996366,-0.2172261,0.7150071,-0.04992476,-0.7480157,0.1625414,0.04733163,-0.6417262,0.2613268,0.8579634,0.4307489,-0.4064075,-0.01063203,-0.1076497,-0.9072659
0.320076,0.05796767,1.62917,0.1691775,-0.009026199,-0.01831427,0.02363876,0.9995121,-0.2152891,0.7166365,-0.05307192,-0.7514953,0.1667999,0.04037372,-0.6370264,0.2584226,0.8770227,0.4544821,-0.3828039,-0.008304898,-0.1090943,-0.917328
0.3339691,0.05730657,1.630787,0.1740207,-0.01219833,-0.01953631,0.02759147,0.9993539,-0.2120475,0.7184392,-0.05567545,-0.7560403,0.1648485,0.03668858,-0.6323622,0.2546096,0.8993069,0.4774728,-0.3581941,-0.006817081,-0.1059416,-0.927592
0.3479214,0.05657094,1.632843,0.179018,-0.01484394,-0.02153759,0.03101267,0.9991767,-0.2086138,0.720125,-0.05769597,-0.7593918,0.1618391,0.03278395,-0.6293309,0.2507334,0.9207022,0.4998738,-0.3337556,-0.005034082,-0.1026686,-0.9370384
0.3618584,0.05589098,1.634987,0.1843083,-0.01781927,-0.02347184,0.03389015,0.998991,-0.2045349,0.7221071,-0.05811676,-0.7609279,0.1553185,0.03248161,-0.6291342,0.245502,0.9436867,0.5209936,-0.308671,-0.0009150479,-0.09973989,-0.9459246
0.3757648,0.05527968,1.637184,0.1900206,-0.02179711,-0.02506953,0.03543239,0.9988198,-0.201144,0.7238806,-0.058235,-0.7620963,0.1499629,0.03541276,-0.6288611,0.2395231,0.9668163,0.5405389,-0.282779,0.005712619,-0.09891764,-0.9540538
0.3897114,0.0546677,1.639475,0.196024,-0.02510245,-0.02596721,0.0356353,0.998712,-0.1979148,0.7257868,-0.05776107,-0.7632253,0.1453734,0.03974967,-0.6283102,0.2327802,0.9905328,0.557824,-0.2571564,0.01438311,-0.1009067,-0.9609795
0.4036198,0.05403663,1.641397,0.2021416,-0.02799144,-0.02608432,0.0356948,0.9986301,-0.1950166,0.7276608,-0.05769935,-0.7649434,0.1433056,0.04152312,-0.6265787,0.2266442,1.013538,0.5745129,-0.2333156,0.02234018,-0.1038288,-0.9665839
0.4175053,0.05336417,1.642807,0.2085494,-0.02941216,-0.02570488,0.03472162,0.9986334,-0.1919716,0.729745,-0.05706011,-0.7670045,0.1434142,0.03989781,-0.6241351,0.2208894,1.037308,0.58919,-0.2077129,0.02737857,-0.1072653,-0.9719054
0.431345,0.0525446,1.643641,0.2148819,-0.0294531,-0.02517102,0.03421504,0.9986632,-0.1888549,0.7318015,-0.05586168,-0.7692112,0.1438906,0.03693452,-0.6214865,0.2157327,1.060862,0.6017663,-0.1833921,0.02931352,-0.1028893,-0.977201
0.4453125,0.05162216,1.644258,0.2212354,-0.02854111,-0.02474126,0.03377459,0.9987155,-0.1852878,0.7336203,-0.0540866,-0.771578,0.1432057,0.03096511,-0.619032,0.2111859,1.082857,0.6138753,-0.162659,0.03021775,-0.09261173,-0.9818615
0.4593601,0.05057793,1.644283,0.2278409,-0.02655579,-0.0241625,0.03327396,0.9988012,-0.1812581,0.7350584,-0.05184216,-0.7742363,0.1417185,0.02223268,-0.6164249,0.2072002,1.103131,0.6250357,-0.1436574,0.0300751,-0.08309124,-0.9856743
0.4732208,0.04957701,1.644058,0.2346883,-0.02435771,-0.02407017,0.03360362,0.9988484,-0.177422,0.7360326,-0.04939128,-0.7771935,0.1392381,0.01537896,-0.6134709,0.2032939,1.12205,0.635403,-0.1245763,0.03070538,-0.0775323,-0.9886995
0.487114,0.04838939,1.643532,0.2418997,-0.02187197,-0.02397207,0.03402917,0.9988939,-0.1738128,0.7360886,-0.04540128,-0.7802481,0.1347595,0.01063416,-0.6106879,0.1991584,1.139663,0.6448938,-0.1073016,0.03229366,-0.07910852,-0.990548
0.500988,0.04714034,1.642849,0.2493476,-0.01966013,-0.02408098,0.03451097,0.9989207,-0.170771,0.7361814,-0.04183688,-0.7825888,0.1310828,0.007866865,-0.6085312,0.1945411,1.157239,0.6548048,-0.0897474,0.03552425,-0.08431396,-0.9917533
0.5149364,0.04577448,1.642089,0.2574372,-0.01691593,-0.02427694,0.03467438,0.9989606,-0.1685525,0.7350621,-0.03548925,-0.7836675,0.1248154,0.01016683,-0.6084267,0.1892182,1.171032,0.6612431,-0.07633765,0.04125093,-0.09514156,-0.9916748
0.5288239,0.04453342,1.641808,0.2653211,-0.01584815,-0.0242902,0.03452874,0.9989828,-0.1666703,0.7344424,-0.02978507,-0.7847015,0.1187353,0.01364117,-0.6082429,0.1844004,1.185345,0.6684915,-0.05956694,0.04611694,-0.09402839,-0.9927154
0.5427151,0.04316755,1.64152,0.2735407,-0.01671997,-0.02432118,0.0337218,0.9989954,-0.1656304,0.7331944,-0.02212223,-0.7845024,0.1120125,0.01636773,-0.6097059,0.1804513,1.198002,0.6752415,-0.04382514,0.0509753,-0.0803569,-0.9944967
0.5566959,0.04172269,1.640553,0.2818906,-0.01887169,-0.02410434,0.03265745,0.9989977,-0.1652309,0.7318891,-0.01445234,-0.7846546,0.1097604,0.0156091,-0.6099396,0.1773621,1.208505,0.6817894,-0.03011868,0.05517366,-0.0632311,-0.9960174
0.570694,0.04021951,1.63907,0.2901762,-0.02026885,-0.02376936,0.03187883,0.9990035,-0.1654843,0.730512,-0.006783541,-0.7851321,0.1119365,0.01229809,-0.6090047,0.1751126,1.216072,0.6882641,-0.01931711,0.05760591,-0.05057333,-0.9968705
0.5845928,0.03869688,1.637153,0.2984117,-0.02017885,-0.02341872,0.03161337,0.9990221,-0.1670299,0.7286139,0.001969296,-0.7856467,0.1189934,0.006573453,-0.6070887,0.1735177,1.21983,0.6951364,-0.01515495,0.05792043,-0.04707901,-0.9970953
0.5985165,0.03705988,1.635273,0.3067363,-0.01873916,-0.02280224,0.03125893,0.9990755,-0.1693581,0.7263491,0.01147798,-0.7857384,0.1272363,0.002174108,-0.6053275,0.1722661,1.220298,0.7024326,-0.01609638,0.05550406,-0.05333641,-0.9969029
0.6125164,0.03546497,1.633507,0.3151819,-0.01777826,-0.02211037,0.03087358,0.9991205,-0.1716309,0.7239816,0.02138584,-0.7857717,0.131758,0.001154953,-0.6043189,0.1713516,1.217356,0.7095153,-0.01818178,0.05065294,-0.07028931,-0.9960738
0.6264534,0.03380595,1.631825,0.3238343,-0.01618467,-0.02112277,0.03079103,0.9991716,-0.174556,0.721019,0.03315704,-0.7843494,0.1339381,0.001913978,-0.605684,0.1702418,1.213678,0.7166631,-0.02073241,0.04639013,-0.08486586,-0.995096
